Reversed left context	Reversed center	Left context	Center	Punct	Right context	Title	Author	Birthday	Header	Created	Sphere	Type	Topic	Publication	Publ_year	Medium	Ambiguity	Full context
 или йоктсичелефотрак ьтазерс ешчул уцижок	 мыртсо 	кожицу лучше срезать картофелечисткой или 	 острым 	 	 ножом.	Л. Белюсева. Очень крепкий «орешек» // «Наука и жизнь», 2006	Л. Белюсева		Очень крепкий «орешек»	2006	нехудожественная, публицистика	статья	природа	«Наука и жизнь»	2006	журнал	омонимия не снята	Но если использовать мякоть для приготовления какого-нибудь блюда, кожицу лучше срезать картофелечисткой или острым ножом. [Л. Белюсева. Очень крепкий «орешек» // «Наука и жизнь», 2006] [омонимия не снята]
 ьлокс ,мынрев оге юанзирп еж	 мыртсо 	же признаю его верным, сколь 	 острым 	 	 стрелам Священного Писания я себя подставляю?»	С. С. Неретина, А. П. Огурцов. Пути к универсалиям. Раздел II. Творец и род (2006)	С. С. Неретина, А. П. Огурцов	1936 | 1941	Пути к универсалиям. Раздел II. Творец и род	2006	нехудожественная, учебно-научная	монография	наука и технологии, философия			книга	омонимия не снята	Если же признаю его верным, сколь острым стрелам Священного Писания я себя подставляю?»  [С. С. Неретина, А. П. Огурцов. Пути к универсалиям. Раздел II. Творец и род (2006)] [омонимия не снята]
 йеовс оС	 йортсо 	Со своей 	 острой 	 	 иголкой! 	Сергей Чекмаев. Цена мечты // «Наука и жизнь», 2006	Сергей Чекмаев		Цена мечты	2006	художественная	рассказ	_	«Наука и жизнь»	2006	журнал	омонимия не снята	Со своей острой иголкой!  [Сергей Чекмаев. Цена мечты // «Наука и жизнь», 2006] [омонимия не снята]
 оготэ ялД	 мыртсо 	Для этого 	 острым 	 	 ножом слегка надрезают кору вместе	коллективный. Сад после суровой зимы // «Наука и жизнь», 2006	коллективный		Сад после суровой зимы	2006	нехудожественная, публицистика	беседа	сельское хозяйство	«Наука и жизнь»	2006	журнал	омонимия не снята	Для этого острым ножом слегка надрезают кору вместе с молодой ( наружной) древесиной ― поначалу на штамбе, в самом низу, затем в середине, вверху, а потом и выше ― у основания скелетных ветвей деревьев. [коллективный. Сад после суровой зимы // «Наука и жизнь», 2006] [омонимия не снята]
 етьжерс атсем еишзремдоп есв и	 мыртсо 	и все подмерзшие места срежьте 	 острым 	 	 ножом.	обобщенный. Рефераты. Садоводу — на заметку // «Наука и жизнь», 2006	обобщенный		Рефераты. Садоводу — на заметку	2006	нехудожественная, публицистика	обзор, совет	сельское хозяйство	«Наука и жизнь»	2006	журнал	омонимия не снята	Если луковицы лилии белоснежной зимой подмерзли, в апреле- мае выкопайте их из земли, отделите чешуи и все подмерзшие места срежьте острым ножом. [обобщенный. Рефераты. Садоводу — на заметку // «Наука и жизнь», 2006] [омонимия не снята]
 хиовс модялгзв и ,ютаК ан	 хыртсо 	на Катю, и взглядом своих 	 острых 	 	 гвоздиков- зрачков пригвождал ее к	Дина Рубина. На солнечной стороне улицы (1980-2006)	Дина Рубина	1953	На солнечной стороне улицы	1980-2006	художественная	роман	_			книга	омонимия не снята	А глаза время от времени вскидывал на Катю, и взглядом своих острых гвоздиков- зрачков пригвождал ее к резной спинке стула. [Дина Рубина. На солнечной стороне улицы (1980-2006)] [омонимия не снята]
 :»икжон иьзок « евд лунревс	 йыртсо 	свернул две « козьи ножки»: 	 острый 	 	 мундштучок и набитый табаком конус,	Анатолий Приставкин. Вагончик мой дальний (2005)	Анатолий Приставкин	1931	Вагончик мой дальний	2005	художественная	повесть	_			книга	омонимия не снята	Тут он достал клочок старой, пожелтелой от времени газеты, разорвал на перегибе на две части, ловко свернул две « козьи ножки»: острый мундштучок и набитый табаком конус, тупой стороной вверх. [Анатолий Приставкин. Вагончик мой дальний (2005)] [омонимия не снята]
 ан икчявреч еынсукв ,икнамбо ,ыднерб	 хыртсо 	бренды, обманки, вкусные червячки на 	 острых 	 	 крючках.	Андрей Рубанов. Сажайте, и вырастет (2005)	Андрей Рубанов	1969	Сажайте, и вырастет	2005	художественная	роман	_			книга	омонимия не снята	Тюрьма, свобода, богатство, бедность ― ложные бренды, обманки, вкусные червячки на острых крючках. [Андрей Рубанов. Сажайте, и вырастет (2005)] [омонимия не снята]
 с лакс ынишрев еынмет ,енамут	 имыртсо 	тумане, темные вершины скал с 	 острыми 	 	 пиками редких деревьев.	Анна Берсенева. Возраст третьей любви (2005)	Анна Берсенева		Возраст третьей любви	2005	художественная	роман	_			книга	омонимия не снята	И тут же, встав во весь рост, увидел далеко впереди, в сером тумане, темные вершины скал с острыми пиками редких деревьев. [Анна Берсенева. Возраст третьей любви (2005)] [омонимия не снята]
 иламинс ужок ,ежохоП	 мыртсо 	Похоже, кожу снимали 	 острым 	 	 инструментом…	Елена Топильская. Помни о смерти (memento mori) (2005)	Елена Топильская	1959	Помни о смерти (memento mori)	2005	художественная	роман	_			книга	омонимия не снята	Похоже, кожу снимали острым инструментом… [Елена Топильская. Помни о смерти (memento mori) (2005)] [омонимия не снята]
 йонненлопан ,авецьлоГ ичер йонтнакип и	 имыртсо 	и пикантной речи Гольцева, наполненной 	 острыми 	 	 шпильками по адресу вершителей русских судеб	Игорь Волгин. Сокрушаемый Карфаген // «Октябрь», 2005	Игорь Волгин	1942	Сокрушаемый Карфаген	2005	нехудожественная, публицистика	статья	образование	«Октябрь»	2005	журнал	омонимия не снята	Отправляясь на такой банкет, ― продолжает Кизеветтер, ― можно было заранее предвкушать удовольствие от едкой и пикантной речи Гольцева, наполненной острыми шпильками по адресу вершителей русских судеб <…> от пылких воспоминаний о далеких временах Грановского и Герцена…»  [Игорь Волгин. Сокрушаемый Карфаген // «Октябрь», 2005] [омонимия не снята]
 яансапо от ,зубра йылерзереп ,йынщиводуч	 яартсо 	чудовищный, перезрелый арбуз, то опасная 	 острая 	 	 вилка с человека ростом.	Ксения Букша. Inside Out (Наизнанку) (2005)	Ксения Букша	1983	Inside Out (Наизнанку)	2005	художественная	роман	_			книга	омонимия не снята	По временам снизу долетал какой-нибудь предмет: то гигантская и жирная консервная банка с ужасными зазубренными краями, то чудовищный, перезрелый арбуз, то опасная острая вилка с человека ростом. [Ксения Букша. Inside Out (Наизнанку) (2005)] [омонимия не снята]
 йокур йондо важирП	 еыртсо 	Прижав одной рукой 	 острые 	 	 лопатки, другой я хлопал собственным	Сергей Есин. Марбург (2005)	Сергей Есин	1935	Марбург	2005	художественная	роман	_			книга	омонимия не снята	Прижав одной рукой острые лопатки, другой я хлопал собственным брючным ремнем по жестковатым, но еще вполне аппетитным ягодицам. [Сергей Есин. Марбург (2005)] [омонимия не снята]
 огоннежревдоп и огокпурх еелоб огечин	 умортсо 	ничего более хрупкого и подверженного 	 острому 	 	 ножу времени, чем монумент герою,	Сергей Есин. Марбург (2005)	Сергей Есин	1935	Марбург	2005	художественная	роман	_			книга	омонимия не снята	Я абсолютно уверен, что нет ничего более хрупкого и подверженного острому ножу времени, чем монумент герою, князю, царю, императору и даже герою литературы. [Сергей Есин. Марбург (2005)] [омонимия не снята]
 ее ьтавилревсорп оннемервондо и уктелк	 имыртсо 	клетку и одновременно просверливать ее 	 острыми 	 	 иглами.	Татьяна Сахарова. Добрая фея с острыми зубками (2005)	Татьяна Сахарова		Добрая фея с острыми зубками	2005	художественная	роман	_			книга	омонимия не снята	Что-то продолжало сдавливать мою грудную клетку и одновременно просверливать ее острыми иглами. [Татьяна Сахарова. Добрая фея с острыми зубками (2005)] [омонимия не снята]
.МАС	 мыртсО 	САМ.	 Острым 	 	 ножом.	Наши дети: Дошколята и младшие школьники (форум) (2005)			Наши дети: Дошколята и младшие школьники (форум)	2005	нехудожественная, электронная коммуникация	форум	частная жизнь			электронный текст	омонимия не снята	САМ. Острым ножом. [Наши дети: Дошколята и младшие школьники (форум) (2005)] [омонимия не снята]
 ан хижохоп ,нешаб 83 и	 еыртсо 	и 38 башен, похожих на 	 острые 	 	 шляпы волшебниц.	Виктор Грицюк. Магия пасторали // «Вокруг света», 2004.07.15	Виктор Грицюк		Магия пасторали	2004	нехудожественная, публицистика	статья	путешествия	«Вокруг света»	2004.07.15	журнал	омонимия не снята	У нее двойной ряд стен и 38 башен, похожих на острые шляпы волшебниц. [Виктор Грицюк. Магия пасторали // «Вокруг света», 2004.07.15] [омонимия не снята]
 юицазилиретс и итсевзи йонролх моровтсар	 мыртсо 	раствором хлорной извести и стерилизацию 	 острым 	 	 паром.	С. Н. Коротков. Весоизмерительные системы от «МЕТРА» // «Мясная индустрия», 2004.06.21	С. Н. Коротков		Весоизмерительные системы от «МЕТРА»	2004	нехудожественная, учебно-научная	статья	легкая и пищевая промышленность, наука и технологии, производство	«Мясная индустрия»	2004.06.21	журнал	омонимия не снята	Согласно санитарным нормам в сырьевом и машинном отделениях на предприятиях необходимо проводить ежедневную мойку оборудования щелочными растворами, а также его дезинфекцию раствором хлорной извести и стерилизацию острым паром. [С. Н. Коротков. Весоизмерительные системы от «МЕТРА» // «Мясная индустрия», 2004.06.21] [омонимия не снята]
 тюлпысо ,ылис есв тусосыв ,йеизнетерп	 имыртсо 	претензией, высосут все силы, осыплют 	 острыми 	 	 дротиками глупых вопросов и в	Улья Нова. Инка (2004)	Улья Нова	1976	Инка	2004	художественная	роман	_			книга	омонимия не снята	Не дай небо, кто-нибудь из них захочет отдохнуть: видно за версту, что это клиенты с претензией, высосут все силы, осыплют острыми дротиками глупых вопросов и в итоге уйдут ни с чем. [Улья Нова. Инка (2004)] [омонимия не снята]
« ьнечо торовоп ан иицкаер	 огортсо 	реакции на поворот очень «	 острого 	» 	 руля, минимальные крены.	Юрий Нечетов. Он знает эту проблему // «За рулем», 2004.04.15	Юрий Нечетов		Он знает эту проблему	2004	нехудожественная, публицистика	статья	техника	«За рулем»	2004.04.15	журнал	омонимия не снята	Высокая угловая жесткость подвески в сочетании с низкопрофильными колесами дают быстрые и точные реакции на поворот очень «острого» руля, минимальные крены. [Юрий Нечетов. Он знает эту проблему // «За рулем», 2004.04.15] [омонимия не снята]
 ьтазербо одан икле ловтс оньлетиравдерП	 мыртсо 	Предварительно ствол елки надо обрезать 	 острым 	 	 ножом, чтобы открыть свежие поры.	Елка ― не палка, требует ухода // «Амурский Меридиан» (Хабаровск), 2004.12.22			Елка ― не палка, требует ухода	2004	нехудожественная, публицистика	заметка	дом и домашнее хозяйство	«Амурский Меридиан» (Хабаровск)	2004.12.22	газета	омонимия не снята	Предварительно ствол елки надо обрезать острым ножом, чтобы открыть свежие поры. [Елка ― не палка, требует ухода // «Амурский Меридиан» (Хабаровск), 2004.12.22] [омонимия не снята]
.ексим йошьлобен в консеч и	 мыртсО 	и чеснок в небольшой миске.	 Острым 	 	 ножом надрежьте в нескольких местах	Имбирь + лайм + кориандр // «Homes & Gardens», 2004.04.16			Имбирь + лайм + кориандр	2004	нехудожественная, публицистика	рецепт	дом и домашнее хозяйство	«Homes & Gardens»	2004.04.16	журнал	омонимия не снята	и чеснок в небольшой миске. Острым ножом надрежьте в нескольких местах филе говядины, чтобы кусок мог пропитаться маринадом. [Имбирь + лайм + кориандр // «Homes & Gardens», 2004.04.16] [омонимия не снята]
 меч ,ешьлоб акинвиторп лашартсу отсач	 яартсо 	часто устрашал противника больше, чем 	 острая 	 	 сабля.	Казацкий спецназ // «Солдат удачи», 2004.09.08			Казацкий спецназ	2004	нехудожественная, публицистика	статья	история, наука и технологии	«Солдат удачи»	2004.09.08	журнал	омонимия не снята	Развевающийся по ветру чуб часто устрашал противника больше, чем острая сабля. [Казацкий спецназ // «Солдат удачи», 2004.09.08] [омонимия не снята]
 и ,марикес мылежят и ,мялбас	 мыртсо 	саблям, и тяжелым секирам, и 	 острым 	 	 кинжалам находилась в рукопашном бою	Казацкий спецназ // «Солдат удачи», 2004.09.08			Казацкий спецназ	2004	нехудожественная, публицистика	статья	история, наука и технологии	«Солдат удачи»	2004.09.08	журнал	омонимия не снята	И боевым молоткам ― « келепам» ( чеканам), и « резвым» саблям, и тяжелым секирам, и острым кинжалам находилась в рукопашном бою работа. [Казацкий спецназ // «Солдат удачи», 2004.09.08] [омонимия не снята]
 илсЕ	 яартсо 	Если 	 острая 	 	 палочка со срезом, то можно	Красота, здоровье, отдых: Косметика и парфюм (форум) (2004)			Красота, здоровье, отдых: Косметика и парфюм (форум)	2004	нехудожественная, электронная коммуникация	форум	частная жизнь			электронный текст	омонимия не снята	Если острая палочка со срезом, то можно и почистить саму кутикулу. [Красота, здоровье, отдых: Косметика и парфюм (форум) (2004)] [омонимия не снята]
 ирп тюянемирп огЕ	 хыртсо 	Его применяют при 	 острых 	 	 запорах, воспалении желудочно-кишечного тракта и	Лесная аптека // «Лесное хозяйство», 2004.04.20			Лесная аптека	2004	нехудожественная, учебно-научная	статья	природа	«Лесное хозяйство»	2004.04.20	журнал	омонимия не снята	Его применяют при острых запорах, воспалении желудочно-кишечного тракта и при некоторых отравлениях. [Лесная аптека // «Лесное хозяйство», 2004.04.20] [омонимия не снята]
.ытнецка еыннемервос мотэ в тугомоп	 еыртсО 	помогут в этом современные акценты.	 Острые 	 	 зубчики превратят в озорную девчонку,	Моделируем образ: шарм завитков, кудрей и зубчиков // «Даша», 2004			Моделируем образ: шарм завитков, кудрей и зубчиков	2004	нехудожественная, публицистика	совет	частная жизнь	«Даша»	2004	журнал	омонимия не снята	помогут в этом современные акценты. Острые зубчики превратят в озорную девчонку, упругие кудри ― в элегантную даму, а легкие завитки ― в скромную неженку. [Моделируем образ: шарм завитков, кудрей и зубчиков // «Даша», 2004] [омонимия не снята]
 аз ,ытосыв еноротс йонтарбо ан	 мыртсо 	на обратной стороне высоты, за 	 острым 	 	 гребнем может быть так называемая	Особенности разведки в горах // «Боевое искусство планеты», 2004.06.10			Особенности разведки в горах	2004	нехудожественная, публицистика	статья	армия и вооруженные конфликты	«Боевое искусство планеты»	2004.06.10	журнал	омонимия не снята	За скатом, на обратной стороне высоты, за острым гребнем может быть так называемая « звуковая тень», место, в котором нужный звук слышен не будет. [Особенности разведки в горах // «Боевое искусство планеты», 2004.06.10] [омонимия не снята]
 илазерзар асям огоннялавбо аколб то	 мыртсо 	от блока обвалянного мяса разрезали 	 острым 	 	 ножом вдоль, выравнивали края.	Производство полуфабрикатов из частично размороженного мяса птицы // «Мясная индустрия», 2004.03.29			Производство полуфабрикатов из частично размороженного мяса птицы	2004	нехудожественная, учебно-научная	статья	легкая и пищевая промышленность, наука и технологии, производство	«Мясная индустрия»	2004.03.29	журнал	омонимия не снята	Филейные части от блока обвалянного мяса разрезали острым ножом вдоль, выравнивали края. [Производство полуфабрикатов из частично размороженного мяса птицы // «Мясная индустрия», 2004.03.29] [омонимия не снята]
 локотсач ― имин уджем А	 хыртсо 	А между ними ― частокол 	 острых 	 	 палочек К и Л. Огороженная	Сюжеты около // «Театральная жизнь», 2004.06.28			Сюжеты около	2004	нехудожественная, публицистика	статья	искусство и культура	«Театральная жизнь»	2004.06.28	газета	омонимия не снята	А между ними ― частокол острых палочек К и Л. Огороженная территория, своя. [Сюжеты около // «Театральная жизнь», 2004.06.28] [омонимия не снята]
 и мореп с апялш ,йезурд	 яартсо 	друзей, шляпа с пером и 	 острая 	 	 шпага.	Уроки плейбоев от Иракли // «Твой курс» (приложение к «Аргументам и фактам»), 2004.11.10			Уроки плейбоев от Иракли	2004	нехудожественная, публицистика	интервью	частная жизнь	«Твой курс» (приложение к «Аргументам и фактам»)	2004.11.10	журнал	омонимия не снята	У мачо непременно должны быть в наличии трое отважных друзей, шляпа с пером и острая шпага. [Уроки плейбоев от Иракли // «Твой курс» (приложение к «Аргументам и фактам»), 2004.11.10] [омонимия не снята]
 ан йытедан яслащемереп адук ,иинелварпан	 юуртсо 	направлении, куда перемещался надетый на 	 острую 	 	 палочку кусочек, ее неизменно ждала	Вальтер Запашный. Риск. Борьба. Любовь (1998-2004)	Вальтер Запашный	1928	Риск. Борьба. Любовь	1998-2004	нехудожественная, публицистика	мемуары	_			книга	омонимия не снята	А если тигрица тянулась за лакомством и шла в том направлении, куда перемещался надетый на острую палочку кусочек, ее неизменно ждала награда: несколько более крупных ломтей. [Вальтер Запашный. Риск. Борьба. Любовь (1998-2004)] [омонимия не снята]
 мокшилс тивотог равоп тотЭ «	 еыртсо 	« Этот повар готовит слишком 	 острые 	 	 блюда»: 	Александр Братерский. Норвежская рыба стала звездой кулинарного техникума // «Известия», 2003.02.06	Александр Братерский		Норвежская рыба стала звездой кулинарного техникума	2003	нехудожественная, публицистика	статья	политика и общественная жизнь	«Известия»	2003.02.06	газета	омонимия не снята	Доброе слово о русской кухне замолвил сам глава конкурса, главный французский кулинар Поль Бокюз, с сожалением вспомнив о правлении мастера политической кулинарии, о способностях которого нелестно отзывался и Ленин: « Этот повар готовит слишком острые блюда»:  [Александр Братерский. Норвежская рыба стала звездой кулинарного техникума // «Известия», 2003.02.06] [омонимия не снята]
 тскет тюавилвадыв еТ	 имыртсо 	Те выдавливают текст 	 острыми 	 	 палочками на сырых глиняных табличках.	Алексей Смирнов. Почта к празднику // «Мурзилка», 2003	Алексей Смирнов		Почта к празднику	2003	нехудожественная, учебно-научная	статья	история, наука и технологии	«Мурзилка»	2003	журнал	омонимия не снята	Те выдавливают текст острыми палочками на сырых глиняных табличках. [Алексей Смирнов. Почта к празднику // «Мурзилка», 2003] [омонимия не снята]
.ьлодв ыниволоп евд ан етьжерзар	 мыртсО 	разрежьте на две половины вдоль.	 Острым 	 	 ножом сделайте несколько надрезов в	Анатолий Найман, Галина Наринская. Процесс еды и беседы. 100 кулинарных и интеллектуальных рецептов // «Октябрь», 2003	Анатолий Найман, Галина Наринская	1936	Процесс еды и беседы. 100 кулинарных и интеллектуальных рецептов	2003	нехудожественная, публицистика	эссе	дом и домашнее хозяйство	«Октябрь»	2003	журнал	омонимия не снята	разрежьте на две половины вдоль. Острым ножом сделайте несколько надрезов в середине и положите в соленую воду на час. [Анатолий Найман, Галина Наринская. Процесс еды и беседы. 100 кулинарных и интеллектуальных рецептов // «Октябрь», 2003] [омонимия не снята]
 онбоду олыб ыботч ,итсач еикат	 мыртсо 	такие части, чтобы было удобно 	 острым 	 	 ножом удалить середину.	Анатолий Найман, Галина Наринская. Процесс еды и беседы. 100 кулинарных и интеллектуальных рецептов // «Октябрь», 2003	Анатолий Найман, Галина Наринская	1936	Процесс еды и беседы. 100 кулинарных и интеллектуальных рецептов	2003	нехудожественная, публицистика	эссе	дом и домашнее хозяйство	«Октябрь»	2003	журнал	омонимия не снята	Очистите длинную ровную морковку, разрежьте ее на такие части, чтобы было удобно острым ножом удалить середину. [Анатолий Найман, Галина Наринская. Процесс еды и беседы. 100 кулинарных и интеллектуальных рецептов // «Октябрь», 2003] [омонимия не снята]
 ― еонвалГ	 еыртсо 	Главное ― 	 острые 	 	 ножи.	Анатолий Найман, Галина Наринская. Процесс еды и беседы. 100 кулинарных и интеллектуальных рецептов // «Октябрь», 2003	Анатолий Найман, Галина Наринская	1936	Процесс еды и беседы. 100 кулинарных и интеллектуальных рецептов	2003	нехудожественная, публицистика	эссе	дом и домашнее хозяйство	«Октябрь»	2003	журнал	омонимия не снята	Главное ― острые ножи. [Анатолий Найман, Галина Наринская. Процесс еды и беседы. 100 кулинарных и интеллектуальных рецептов // «Октябрь», 2003] [омонимия не снята]
 доп йещюацрем ,ынинагортс моксук или	 мыртсо 	или куском строганины, мерцающей под 	 острым 	 	 ножом хозяйки, накрывающей на стол…	Егор Радов. Змеесос (2003)	Егор Радов	1964	Змеесос	2003	художественная	роман	_			книга	омонимия не снята	Еще я хочу стать дочерью вождя или куском строганины, мерцающей под острым ножом хозяйки, накрывающей на стол… [Егор Радов. Змеесос (2003)] [омонимия не снята]
 йошьлоб асяоп аз-зи лищатыв ашиМ	 йыртсо 	Миша вытащил из-за пояса большой 	 острый 	 	 нож и ловкими умелыми движениями	Егор Радов. Змеесос (2003)	Егор Радов	1964	Змеесос	2003	художественная	роман	_			книга	омонимия не снята	Тогда Миша вытащил из-за пояса большой острый нож и ловкими умелыми движениями отрезал у Александра Ивановича голову. [Егор Радов. Змеесос (2003)] [омонимия не снята]
 латсод ротйерфе оготэ елсоП	 йыртсо 	После этого ефрейтор достал 	 острый 	 	 нож и разрезал блузку толстой	Егор Радов. Змеесос (2003)	Егор Радов	1964	Змеесос	2003	художественная	роман	_			книга	омонимия не снята	После этого ефрейтор достал острый нож и разрезал блузку толстой женщины. [Егор Радов. Змеесос (2003)] [омонимия не снята]
 ,яанвор ,яаньлетатсилБ	 яартсо 	Блистательная, ровная, 	 острая 	 	 стрела была вложена в убийственный арбалет,	Егор Радов. Змеесос (2003)	Егор Радов	1964	Змеесос	2003	художественная	роман	_			книга	омонимия не снята	Блистательная, ровная, острая стрела была вложена в убийственный арбалет, и эхо гулко отозвалось в пустоте помещения, отобразив выстрел, прервавший очередную жизнь, когда эта стрела вонзилась  [Егор Радов. Змеесос (2003)] [омонимия не снята]
 хревв ьсилунят овиледрог имяьверед имишведоломоп	 еыртсо 	помолодевшими деревьями горделиво тянулись вверх 	 острые 	 	 пики тюльпанов и покачивали белыми	Елизавета Алканская. Кредитная история // «Вестник США», 2003.09.03	Елизавета Алканская		Кредитная история	2003	художественная	рассказ	_	«Вестник США»	2003.09.03	газета	омонимия не снята	Под помолодевшими деревьями горделиво тянулись вверх острые пики тюльпанов и покачивали белыми головками нарциссы. [Елизавета Алканская. Кредитная история // «Вестник США», 2003.09.03] [омонимия не снята]
« евтсечак в ьлор зар	 огортсо 	раз роль в качестве «	 острого 	 	 оружия» партии коммунисты избрали законопроекты	Иван Родин. Национализация в предвыборных целях // «Независимая газета», 2003	Иван Родин		Национализация в предвыборных целях	2003	нехудожественная, публицистика	статья	политика и общественная жизнь	«Независимая газета»	2003	газета	омонимия не снята	На этот раз роль в качестве «острого оружия» партии коммунисты избрали законопроекты о национализации. [Иван Родин. Национализация в предвыборных целях // «Независимая газета», 2003] [омонимия не снята]
 с йен к илажеб циньлетичу	 имыртсо 	учительниц бежали к ней с 	 острыми 	 	 указками, и миллионы мальчиков хором кричали:	Кира Сурикова. Ира ― дура (2003)	Кира Сурикова	1965	Ира ― дура	2003	художественная	рассказ	_			книга	омонимия не снята	Она будто на нее опрокидывалось море красных чернил, а тысячи учительниц бежали к ней с острыми указками, и миллионы мальчиков хором кричали: « Ирра ― дурра!»  [Кира Сурикова. Ира ― дура (2003)] [омонимия не снята]
 теузарбо ииницал йарк йыньлаидем ;яаньладимарип	 йыртсо 	пирамидальная; медиальный край лацинии образует 	 острый 	 	 гребень, несущий нередко кайму из	Л. Жильцова. Веснянки (plecoptera). Группа euholognatha (2003)	Л. Жильцова		Веснянки (plecoptera). Группа euholognatha	2003	нехудожественная, учебно-научная	монография	биология, наука и технологии			книга	омонимия не снята	Лациния ― внутренняя подвижная доля максиллы, хорошо склеротизованная, конусовидная или пирамидальная; медиальный край лацинии образует острый гребень, несущий нередко кайму из длинных щетинок, вершина лацинии острая, двухзубчатая. [Л. Жильцова. Веснянки (plecoptera). Группа euholognatha (2003)] [омонимия не снята]
 микьнелам с ынишрев у яянделсоп	 мыртсо 	последняя у вершины с маленьким 	 острым 	 	 крючком, направленным вниз и несколько	Л. Жильцова. Веснянки (plecoptera). Группа euholognatha (2003)	Л. Жильцова		Веснянки (plecoptera). Группа euholognatha	2003	нехудожественная, учебно-научная	монография	биология, наука и технологии			книга	омонимия не снята	Эпипрокт сильно удлиненный, цилиндрический, у основания резко изогнутый и направленный вперед и слегка вверх, вершина его достигает заднего края 8- го тергита; эпипрокт почти равной ширины на всем протяжении, дистально сильно склеротизованный, темно-коричневый, вершина его сверху округленная и слегка расширенная; сбоку видна щель, разделяющая дистальную половину органа на дорсальную и вентральную части, последняя у вершины с маленьким острым крючком, направленным вниз и несколько [Л. Жильцова. Веснянки (plecoptera). Группа euholognatha (2003)] [омонимия не снята]
 алсеназ и ьтин алярпыв ежу	 еыртсо 	уже выпряла нить и занесла 	 острые 	 	 ножницы, и ты доподлинно знаешь,	Мария Семенова. Волкодав: Знамение пути (2003)	Мария Семенова	1958	Волкодав: Знамение пути	2003	художественная	роман	_			книга	омонимия не снята	Если Хозяйка Судеб уже выпряла нить и занесла острые ножницы, и ты доподлинно знаешь, сколько витков осталось крутиться веретену?.. [Мария Семенова. Волкодав: Знамение пути (2003)] [омонимия не снята]
 луныв онйокопсерп и ― еоннелдем	 йыртсо 	медленное ― и преспокойно вынул 	 острый 	 	 ножик у Шамаргана из кулака?..	Мария Семенова. Волкодав: Знамение пути (2003)	Мария Семенова	1958	Волкодав: Знамение пути	2003	художественная	роман	_			книга	омонимия не снята	Но кто же в здравом рассудке сразу поверит, будто молчаливый чужеземец, невозмутимо кормивший из блюдечка ручную летучую мышь, внезапно наклонился из-за стола ― и его движение рассказчики припоминали как медленное ― и преспокойно вынул острый ножик у Шамаргана из кулака?.. [Мария Семенова. Волкодав: Знамение пути (2003)] [омонимия не снята]
 онйачыбоен ыб онволс ,отсич и	 мыртсо 	и чисто, словно бы необычайно 	 острым 	 	 ножом, и рука, держащая её	Мария Семенова. Волкодав: Знамение пути (2003)	Мария Семенова	1958	Волкодав: Знамение пути	2003	художественная	роман	_			книга	омонимия не снята	Верёвка всякий раз оказывалась срезанной ровно и чисто, словно бы необычайно острым ножом, и рука, держащая её наверху, не улавливала мгновения. [Мария Семенова. Волкодав: Знамение пути (2003)] [омонимия не снята]
 тидохси огЕ еж тсу зИ	 йыртсо 	Из уст же Его исходит 	 острый 	 	 меч, чтобы им поражать народы.	Мария Чегодаева. Соцреализм: Мифы и реальность (2003)	Мария Чегодаева	1931	Соцреализм: Мифы и реальность	2003	нехудожественная, учебно-научная	монография	искусствоведение, наука и технологии			книга	омонимия не снята	Из уст же Его исходит острый меч, чтобы им поражать народы. [Мария Чегодаева. Соцреализм: Мифы и реальность (2003)] [омонимия не снята]
